TAC;DEVICE_TYPE
1716826873;Voice_centered
-1127463779;Voice_centered
14156561;Voice_centered
145271615;Smartphone
-674235172;Voice_centered
-246205668;Voice_centered
1250843191;Voice_centered
1969454987;Voice_centered
1228608015;Smartphone
-1277112432;Smartphone
-1553739453;Feature_plus
1769957987;Data_only
-1003079471;Smartphone
1195113926;Smartphone
-1049530856;Smartphone
-292734134;Smartphone
-873411718;Smartphone
590711817;Voice_centered
1780435217;Data_only
-1936979730;Feature_plus
-705488985;Feature_plus
-904284185;Smartphone
-1688510426;Smartphone
-1045140676;Smartphone
1738285563;Smartphone
-423173252;Smartphone
644399872;Feature_plus
1091773087;Smartphone
-2070774972;Feature_plus
-1268098484;Smartphone
-155727665;Voice_centered
-958342353;Data_only
1093724050;Voice_centered
-1767060192;Feature_plus
1847004421;Feature_plus
765648068;Smartphone
1851973100;Smartphone
-2027702994;Smartphone
147720215;Smartphone
-521715396;Smartphone
698662150;Smartphone
1854664277;Feature_plus
-813866897;Feature_plus
-352874118;Feature_plus
50593041;Voice_centered
1422907193;Feature_plus
-1454307298;Voice_centered
-1718262400;Voice_centered
435689118;Voice_centered
-82062314;Voice_centered
275180256;Voice_centered
1388386294;Voice_centered
304287142;Voice_centered
358905441;Smartphone
-1702279049;Smartphone
1924469982;Smartphone
-2081006469;Smartphone
-1549272101;Smartphone
-1269744974;Tablets
-1669894053;Smartphone
-1273866864;Smartphone
-1032958372;Smartphone
222671291;Smartphone
1482110523;Smartphone
1583810879;Tablets
1488509557;Voice_centered
299236235;Voice_centered
-540085284;Feature_plus
1816970429;Feature_plus
313193892;Smartphone
-1683581943;Feature_plus
528248548;Voice_centered
-1070733203;Smartphone
796948353;Voice_centered
-2070256234;Feature_plus
-162032408;Smartphone
-509453984;Smartphone
444397475;Feature_plus
-229197395;Smartphone
-2021620516;Smartphone
575504432;Smartphone
304087491;Feature_plus
-358656538;Smartphone
200151616;Feature_plus
-560440879;Voice_centered
376519979;Feature_plus
1079613730;Feature_plus
-365303446;Feature_plus
-600154633;Data_only
1268891680;Feature_plus
-1312910678;Voice_centered
-128339738;Smartphone
1020762452;Smartphone
-2061875998;Feature_plus
1530351861;Smartphone
-694847777;Smartphone
964828789;Tablets
1400052257;Smartphone
2106811470;Smartphone
-1921477508;Feature_plus
-1212414376;Smartphone
-36831282;Feature_plus
-323019411;Smartphone
-1091143286;Feature_plus
1222579056;Smartphone
-830418948;Smartphone
1973315591;Smartphone
684219396;Voice_centered
-832748807;Data_only
-1608868957;Voice_centered
1207906774;Voice_centered
1039732598;Voice_centered
-1609958769;Voice_centered
1809719613;Smartphone
-1527264353;Smartphone
-953451689;Data_only
-960411031;Smartphone
-211678835;Smartphone
1042814944;Smartphone
1762374165;Smartphone
-237337296;Voice_centered
1905238713;Smartphone
615749337;Smartphone
244096422;Smartphone
554460410;Data_only
1691034327;Smartphone
20824010;Tablets
1362355968;Voice_centered
-1095700898;Smartphone
2145733288;Voice_centered
-1435226634;Feature_plus
794888506;Voice_centered
-233389856;Smartphone
-33983850;Smartphone
1324594976;Voice_centered
-1663096012;Smartphone
1388323523;Voice_centered
-741709908;Feature_plus
-1425361527;Smartphone
-127349021;Smartphone
-119135260;Feature_plus
-674782622;Smartphone
-1073652566;Smartphone
-600621343;Smartphone
-1967174338;Data_only
24615531;Voice_centered
-2044817568;Voice_centered
-34052002;Feature_plus
786681096;Smartphone
1658509396;Feature_plus
1593846502;Smartphone
-334292116;Smartphone
2026976384;Feature_plus
-295484050;Feature_plus
-228148562;Tablets
1264621110;Smartphone
664403685;Smartphone
1866192349;Voice_centered
-1554691270;Smartphone
268240693;Voice_centered
1347214238;Data_only
1734679341;Feature_plus
-2088530304;Feature_plus
299202684;Voice_centered
48532291;Smartphone
133140793;Smartphone
-1251688335;Smartphone
901471390;Voice_centered
-1061067628;Voice_centered
105549289;Voice_centered
-1625554445;Voice_centered
-1716329516;Smartphone
880065763;Feature_plus
-460898378;Smartphone
274115770;Smartphone
-1760079221;Smartphone
-10186554;Smartphone
-2122863749;Voice_centered
-1909845197;Smartphone
-676109307;Smartphone
1810065285;Smartphone
1098481879;Smartphone
921333085;Smartphone
-1244938131;Smartphone
1521634365;Smartphone
1788369786;Smartphone
599675727;Smartphone
-665791170;Smartphone
2029938775;Voice_centered
764161850;Voice_centered
1586480457;Voice_centered
91479929;Smartphone
-619299287;Voice_centered
-1198470559;Data_only
-449782596;Tablets
-1367210104;Feature_plus
-41709613;Smartphone
-576842176;Smartphone
1586973520;Tablets
